"TIMESTAMP","RECORD","DateTime(1)","DateTime(9)","DateTime(4)","DateTime(5)","Target","BattVolt_Avg","Pnl_Tmp_Avg","WindSpeed_Avg","AirT_Avg","AirRH_Avg","mV_tpile_Avg(1)","mV_tpile_Avg(2)","TbodyC_Avg(1)","TbodyC_Avg(2)","TtarRC_Avg","TtarHC_Avg","TadjH_Avg","T_Diffrns_Avg","PID_out_Avg","PID_lmt_Avg","ScldOut_Avg","TrelayBox_Avg"
"2023-07-20 09:10:00",0,2023,201,9,10,3,13.58706,40.57328,0.5913333,38.40347,19.1702,"NAN","NAN","NAN",-273.15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",39.85889
"2023-07-20 09:15:00",1,2023,201,9,15,3,13.58919,40.83521,1.151,38.40301,18.50756,"NAN","NAN","NAN",-273.15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",40.31171
"2023-07-20 09:20:00",2,2023,201,9,20,3,13.56165,41.22749,0.8451334,38.29605,18.81188,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",40.8153
"2023-07-20 09:25:00",3,2023,201,9,25,3,13.57002,41.45853,1.0503,38.15775,19.24398,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",40.10521
"2023-07-20 09:30:00",4,2023,201,9,30,3,13.55727,41.29865,0.9522666,38.07612,19.83202,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",40.91309
"2023-07-20 09:35:00",5,2023,201,9,35,3,13.54087,41.28442,0.245,38.02623,19.98575,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",41.42174
"2023-07-20 09:40:00",6,2023,201,9,40,3,13.53882,41.40461,0.2156667,38.48689,19.51354,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",41.92699
"2023-07-20 09:45:00",7,2023,201,9,45,3,13.50791,41.65245,1.020967,38.53424,19.41615,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",42.28525
"2023-07-20 09:50:00",8,2023,201,9,50,3,13.50698,41.89562,0.6504667,38.12987,19.68497,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",42.5281
"2023-07-20 09:55:00",9,2023,201,9,55,3,13.50768,42.16056,1.078067,38.60388,18.6345,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",42.79268
"2023-07-20 10:00:00",10,2023,201,10,0,3,13.4896,42.43121,0.2312,39.03725,18.27692,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",43.06299
"2023-07-20 10:05:00",11,2023,201,10,5,3,13.47478,42.72447,1.881667,39.43642,16.88318,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",43.4505
"2023-07-20 10:10:00",12,2023,201,10,10,3,13.47251,43.01221,1.940333,39.53994,16.97558,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",43.64325
