year,julian-day,standard-time,leaftemp
2023,205,17,35.989999999999995
2023,205,18,36.096111111111114
2023,205,19,37.04
2023,205,20,37.41777777777778
2023,205,21,36.70666666666667
2023,205,22,36.25888888888889
2023,205,23,35.13388888888889
2023,206,0,32.77055555555555
2023,206,1,31.793333333333333
2023,206,2,32.025000000000006
2023,206,3,31.327777777777776
2023,206,4,30.17611111111111
2023,206,5,29.276111111111113
2023,206,6,28.604444444444443
2023,206,7,29.272777777777776
2023,206,8,30.82611111111111
2023,206,9,32.22571428571429
2023,206,10,33.6052380952381
2023,206,11,34.70388888888888
2023,206,12,36.80555555555556
2023,206,13,37.99944444444444
2023,206,14,38.75944444444444
2023,206,15,39.82277777777777
2023,206,16,39.842777777777776
2023,206,17,38.97277777777778
2023,206,18,37.96
2023,206,19,37.462222222222216
2023,206,20,38.92
2023,206,21,38.480555555555554
2023,206,22,38.22611111111111
2023,206,23,37.42722222222223
2023,207,0,36.925
2023,207,1,36.32333333333334
2023,207,2,35.013888888888886
2023,207,3,34.06055555555556
2023,207,4,30.67777777777778
2023,207,5,30.10722222222222
2023,207,6,30.143333333333334
2023,207,7,30.151666666666667
2023,207,8,31.772222222222222
2023,207,9,33.30444444444444
2023,207,10,34.28888888888889
2023,207,11,35.86388888888889
2023,207,12,38.553333333333335
2023,207,13,40.166666666666664
2023,207,14,41.056666666666665
2023,207,15,41.48388888888889
2023,207,16,41.65833333333333
2023,207,17,40.75111111111111
2023,207,18,39.904444444444444
2023,207,19,39.51777777777777
2023,207,20,39.272777777777776
2023,207,21,38.94111111111111
2023,207,22,32.352222222222224
2023,207,23,24.602777777777778
2023,208,0,28.137777777777778
2023,208,1,28.546111111111113
2023,208,2,29.355555555555554
2023,208,3,29.721111111111114
2023,208,4,28.36611111111111
2023,208,5,27.408333333333335
2023,208,6,26.193333333333335
2023,208,7,29.740000000000002
2023,208,8,30.744999999999997
2023,208,9,32.145
2023,208,10,33.90833333333333
2023,208,11,34.35611111111111
2023,208,12,36.43833333333333
2023,208,13,37.37444444444444
2023,208,14,36.60333333333333
