population,elevation,genotype,Replicate #,am.pm,date,treatment,rh (%),Tair (oC),Tleaf (oC),vpd (kPa),gsw.(mol m-2 s-1),gsw.(mmol m-2 s-1),E.(mmol m-2 s-1),E (mol m-2 s-1),E (g m-2 s-1),E (kg m-2 s-1),E (kg m-2 hr-1),Total leaf area (m2),Al:Ab (m2 cm-2),Al:Ab (m2 m-2),Ypd (MPa),Ymd (MPa),Delta Y (MPa),K (Kg hr-1 MPa-1 m-2) ,K (Kg hr-1 MPa-1 m-2) per BA,K (mmol s-1 MPa-1 m-2) per LA,K (mmol s-1 MPa-1 m-2) per BA
CCR-COL,72,156,43,am,7/20/23,predrought,25.5,38.26,33.03,3.33,0.24,240,7.42,0.007,0.134,0.000134,0.481,18.53,3.87,38700,-0.41,-2.53,2.12,0.227,8777.160,3.497031409,135335.1155
CCR-COL,72,156,44,am,7/21/23,predrought,32.18,36.76,33.22,3.11,0.24,240,6.72,0.007,0.121,0.000121,0.435,5.08,1.59,15900,-0.58,-2.34,1.76,0.247,3933.949,3.814943355,60657.59935
CCR-COL,72,156,45,am,7/20/23,predrought,21,40.22,33.77,3.69,0.36,360,12.54,0.013,0.226,0.000226,0.813,13.38,3.64,36400,-0.49,-1.96,1.47,0.553,20121.326,8.523376845,310250.9172
CCR-COL,72,149,46,am,7/20/23,predrought,23.12,38.65,33.68,3.64,0.29,290,9.89,0.010,0.178,0.000178,0.641,10.99,2.05,20500,-0.5,-2.96,2.46,0.261,5340.600,4.016915288,82346.76341
CCR-COL,72,149,47,am,7/21/23,predrought,35.37,34.49,31.41,2.67,0.3,300,7.64,0.008,0.138,0.000138,0.495,10.98,2.51,25100,-0.58,-2.41,1.83,0.271,6790.332,4.171322399,104700.1922
CCR-COL,72,149,48,am,7/21/23,predrought,33.08,36.29,33.43,3.16,0.19,190,5.5,0.006,0.099,0.000099,0.356,17.25,2.85,28500,-0.81,-2.7,1.89,0.189,5374.286,2.907584694,82866.16377
CCR-COL,72,152,49,am,7/21/23,predrought,37.77,32.81,29.61,2.27,0.43,430,9.19,0.009,0.165,0.000165,0.596,16.68,2.78,27800,-0.61,-2.57,1.96,0.304,8446.548,4.684798637,130237.4021
CCR-COL,72,152,50,am,7/21/23,predrought,33.39,36.27,31.57,2.63,0.41,410,10.16,0.010,0.183,0.000183,0.658,29.47,3.96,39600,-0.92,-2.25,1.33,0.495,19602.536,7.632618499,302251.6926
CCR-COL,72,152,51,am,7/21/23,predrought,32.14,36.8,32.39,2.87,0.39,390,10.54,0.011,0.190,0.000190,0.683,11.56,1.91,19100,-0.85,-2.76,1.91,0.358,6829.920,5.513644136,105310.603
CCR-COL,72,155,58,am,7/21/23,predrought,35.9,34.13,31.69,2.75,0.24,240,6.17,0.006,0.111,0.000111,0.400,25.14,4.53,45300,-0.83,-2.87,2.04,0.196,8878.267,3.021944509,136894.0862
CCR-COL,72,155,59,am,7/20/23,predrought,27.18,35.53,32.08,3.2,0.25,250,7.52,0.008,0.135,0.000135,0.487,16.94,3.17,31700,-0.42,-2.19,1.77,0.275,8727.279,4.244984051,134565.9944
CCR-COL,72,155,60,am,7/21/23,predrought,34.94,35.16,32.16,2.82,0.2,200,5.24,0.005,0.094,0.000094,0.340,22.24,4.22,42200,-0.47,-2.49,2.02,0.168,7093.611,2.591859205,109376.4585
CCR-COL,72,5,61,am,7/21/23,predrought,33.45,36.56,34.15,3.32,0.2,200,6.31,0.006,0.114,0.000114,0.409,5.59,1.83,18300,-0.88,-2.19,1.31,0.312,5711.947,4.812708438,88072.56442
CCR-COL,72,5,63,am,7/20/23,predrought,29.16,33.66,31.02,2.98,0.22,220,6.17,0.006,0.111,0.000111,0.400,13.53,2.78,27800,-0.75,-2.35,1.6,0.250,6946.803,3.852979249,107112.8231
CCR-COL,72,5,85,am,7/21/23,predrought,35.04,35.34,32.45,2.87,0.18,180,5.01,0.005,0.090,0.000090,0.325,8.26,2.33,23300,-0.68,-2.16,1.48,0.219,5111.012,3.382263969,78806.75047
