year,julian-day,standard-time,leaftemp,logger.id,Tair_C
2023,205,17,49.92,1,43.82639
2023,205,18,47.26,1,42.19779
2023,205,19,42.06,1,39.67791
2023,205,20,39.26,1,38.94353
2023,205,21,37.61,1,38.85775
2023,205,22,36.36,1,38.53541
2023,205,23,35.84,1,37.62996
2023,206,0,34.61,1,35.69482
2023,206,1,32.44,1,34.77562
2023,206,2,31.94,1,34.06855
2023,206,3,31.72,1,33.36382
2023,206,4,31.23,1,32.14143
2023,206,5,30.26,1,31.91322
2023,206,6,29.72,1,31.26022
2023,206,7,31.05,1,33.07912
2023,206,8,37.19,1,34.84526
2023,206,9,41.96,1,36.52399
2023,206,10,46.46,1,38.33313
2023,206,11,55.03,1,40.47663
2023,206,12,57.22,1,41.66925
2023,206,13,60.23,1,42.85283
2023,206,14,60.96,1,43.44913
2023,206,15,60.59,1,44.42491
2023,206,16,58.9,1,44.4362
2023,206,17,57.8,1,44.84504
2023,206,18,53.35,1,44.31581
2023,206,19,48.74,1,43.58532
2023,206,20,43.71,1,42.36499
2023,206,21,39.89,1,41.53223
2023,206,22,38.29,1,40.69918
2023,206,23,37.69,1,39.80951
2023,207,0,36.4,1,38.78339
2023,207,1,35.56,1,37.69836
2023,207,2,35.2,1,36.6044
2023,207,3,34.38,1,36.71379
2023,207,4,33.59,1,33.87327
2023,207,5,31.44,1,33.11979
2023,207,6,30.19,1,32.78991
2023,207,7,31.86,1,34.28344
2023,207,8,37.69,1,35.60695
2023,207,9,44.92,1,36.98588
2023,207,10,51.75,1,38.61115
2023,207,11,56.66,1,40.85836
2023,207,12,57.22,1,42.7177
2023,207,13,59.07,1,43.1221
2023,207,14,59.07,1,44.23066
2023,207,15,58.05,1,44.23517
2023,207,16,57.22,1,44.92183
2023,207,17,55.49,1,44.80225
2023,207,18,51.48,1,44.08777
2023,207,19,47.49,1,43.13803
2023,207,20,42.8,1,41.8431
2023,207,21,39.48,1,41.23882
2023,207,22,38.77,1,37.55269
2023,207,23,32.7,1,25.53395
2023,208,0,27.69,1,29.28571
2023,208,1,28.4,1,29.23123
2023,208,2,28.99,1,30.47169
2023,208,3,29.42,1,31.71215
2023,208,4,29.65,1,29.88873
2023,208,5,29.08,1,29.55659
2023,208,6,27.94,1,28.95782
2023,208,7,28.95,1,30.53947
2023,208,8,34.04,1,32.57528
2023,208,9,41.15,1,33.682
2023,208,10,47.61,1,36.06108
2023,208,11,53.85,1,38.1027
2023,208,12,55.18,1,39.18689
2023,208,13,58.56,1,40.85384
2023,208,14,58.3,1,40.83811
2023,208,15,53.42,1,41.96547
2023,208,16,52.99,1,42.8513
2023,208,17,53.85,1,43.14439
2023,208,18,50.5,1,42.92901
2023,208,19,46.35,1,41.53147
2023,208,20,40.91,1,40.38776
2023,208,21,37.69,1,39.59313
2023,208,22,36.65,1,38.65283
2023,208,23,35.71,1,36.78743
2023,209,0,33.96,1,35.94606
2023,209,1,32.88,1,34.61813
2023,209,2,31.76,1,34.05504
2023,209,3,31.69,1,33.16272
2023,209,4,31.05,1,32.33575
2023,209,5,30.53,1,31.66467
2023,209,6,29.38,1,31.7189
2023,209,7,31.55,1,33.78861
2023,209,8,37.52,1,34.97498
2023,209,9,39.98,1,35.54458
2023,209,10,42.06,1,35.94653
2023,209,11,45.46,1,36.95711
2023,209,12,52.92,1,38.61769
2023,209,13,57.64,1,40.91935
2023,209,14,59.16,1,42.14376
2023,209,15,58.47,1,42.98681
2023,209,16,56.82,1,43.3362
2023,209,17,55.33,1,43.15066
2023,209,18,51.42,1,43.15098
2023,209,19,47.03,1,42.14644
2023,209,20,41.96,1,40.93785
2023,209,21,38.51,1,39.42342
2023,209,22,36.9,1,38.40236
2023,209,23,36.08,1,35.34266
2023,210,0,34.34,1,34.73117
2023,210,1,33.17,1,33.87493
2023,210,2,32.62,1,34.36406
2023,210,3,32.59,1,33.26576
2023,210,4,31.58,1,33.67334
2023,210,5,31.72,1,33.66659
2023,210,6,31.26,1,32.84637
2023,210,7,31.94,1,33.62892
2023,210,8,34.61,1,33.87532
2023,210,9,41.15,1,36.52166
2023,210,10,44.6,1,36.86354
2023,210,11,51.02,1,38.65627
2023,210,12,54.96,1,40.08135
2023,210,13,57.97,1,40.86965
2023,210,14,59.25,1,41.82962
2023,210,15,58.47,1,42.6248
2023,210,16,56.66,1,43.23455
2023,210,17,55.26,1,42.83281
2023,210,18,51.82,1,43.18567
2023,210,19,48.14,1,42.25652
2023,210,20,43.0,1,41.13875
2023,210,21,39.04,1,40.74883
2023,210,22,37.86,1,39.48053
2023,210,23,36.16,1,38.80293
2023,211,0,35.52,1,37.88002
2023,211,1,34.85,1,38.29976
2023,211,2,34.54,1,37.23193
2023,211,3,33.47,1,35.48863
2023,211,4,33.32,1,35.45539
2023,211,5,33.47,1,34.56608
2023,211,6,32.7,1,34.08577
2023,211,7,33.29,1,33.86566
2023,211,8,35.56,1,33.80403
2023,211,9,38.82,1,34.66816
2023,211,10,47.9,1,36.23647
2023,211,11,51.35,1,35.93777
2023,211,12,46.74,1,36.80402
2023,211,13,50.69,1,37.93555
2023,211,14,55.03,1,39.40825
2023,211,15,56.74,1,40.14016
2023,211,16,55.49,1,41.06672
2023,211,17,55.18,1,41.86804
2023,211,18,51.68,1,41.47598
2023,211,19,46.12,1,40.19232
2023,211,20,39.35,1,38.79472
2023,211,21,35.59,1,37.41275
2023,211,22,34.93,1,36.73289
2023,211,23,34.58,1,33.06057
2023,212,0,33.06,1,32.026
2023,212,1,31.97,1,26.92423
2023,212,2,28.14,1,27.52752
2023,212,3,27.4,1,27.10725
2023,212,4,27.03,1,26.87453
2023,212,5,26.84,1,26.6531
2023,212,6,26.28,1,26.79685
2023,212,7,27.78,1,27.73093
2023,212,8,32.84,1,29.45491
2023,212,9,40.12,1,30.93671
2023,212,10,46.29,1,31.9119
2023,212,11,51.35,1,33.83244
2023,212,12,51.75,1,34.569
2023,212,13,55.26,1,36.18874
2023,212,14,56.03,1,36.72261
2023,212,15,55.79,1,37.85198
