year,julian-day,standard-time,leaftemp,logger.id,Tair_C
2023,205,17,44.78,1,43.82639
2023,205,18,40.28,1,42.19779
2023,205,19,40.01,1,39.67791
2023,205,20,38.14,1,38.94353
2023,205,21,37.13,1,38.85775
2023,205,22,36.9,1,38.53541
2023,205,23,36.12,1,37.62996
2023,206,0,32.97,1,35.69482
2023,206,1,31.06,1,34.77562
2023,206,2,32.0,1,34.06855
2023,206,3,31.14,1,33.36382
2023,206,4,29.93,1,32.14143
2023,206,5,29.83,1,31.91322
2023,206,6,27.99,1,31.26022
2023,206,7,32.95,1,33.07912
2023,206,8,36.1,1,34.84526
2023,206,9,42.59,1,36.52399
2023,206,10,45.8,1,38.33313
2023,206,11,46.17,1,40.47663
2023,206,12,44.49,1,41.66925
2023,206,13,45.43,1,42.85283
2023,206,14,45.87,1,43.44913
2023,206,15,45.88,1,44.42491
2023,206,16,46.59,1,44.4362
2023,206,17,48.13,1,44.84504
2023,206,18,48.0,1,44.31581
2023,206,19,43.43,1,43.58532
2023,206,20,39.85,1,42.36499
2023,206,21,39.27,1,41.53223
2023,206,22,38.72,1,40.69918
2023,206,23,37.84,1,39.80951
2023,207,0,37.05,1,38.78339
2023,207,1,36.53,1,37.69836
2023,207,2,34.97,1,36.6044
2023,207,3,34.64,1,36.71379
2023,207,4,31.64,1,33.87327
2023,207,5,30.87,1,33.11979
2023,207,6,30.3,1,32.78991
2023,207,7,35.16,1,34.28344
2023,207,8,36.41,1,35.60695
2023,207,9,41.44,1,36.98588
2023,207,10,43.34,1,38.61115
2023,207,11,43.76,1,40.85836
2023,207,12,43.04,1,42.7177
2023,207,13,43.32,1,43.1221
2023,207,14,44.98,1,44.23066
2023,207,15,46.2,1,44.23517
2023,207,16,46.51,1,44.92183
2023,207,17,46.58,1,44.80225
2023,207,18,44.61,1,44.08777
2023,207,19,42.42,1,43.13803
2023,207,20,39.82,1,41.8431
2023,207,21,39.59,1,41.23882
2023,207,22,38.0,1,37.55269
2023,207,23,23.57,1,25.53395
2023,208,0,28.33,1,29.28571
2023,208,1,28.48,1,29.23123
2023,208,2,29.46,1,30.47169
2023,208,3,29.96,1,31.71215
2023,208,4,28.63,1,29.88873
2023,208,5,28.36,1,29.55659
2023,208,6,25.57,1,28.95782
2023,208,7,30.38,1,30.53947
2023,208,8,32.73,1,32.57528
2023,208,9,34.88,1,33.682
2023,208,10,36.8,1,36.06108
2023,208,11,38.71,1,38.1027
2023,208,12,42.07,1,39.18689
2023,208,13,43.48,1,40.85384
2023,208,14,39.93,1,40.83811
2023,208,15,42.08,1,41.96547
2023,208,16,43.22,1,42.8513
2023,208,17,44.19,1,43.14439
2023,208,18,43.34,1,42.92901
2023,208,19,39.94,1,41.53147
2023,208,20,38.01,1,40.38776
2023,208,21,37.76,1,39.59313
2023,208,22,36.69,1,38.65283
2023,208,23,34.83,1,36.78743
2023,209,0,33.74,1,35.94606
2023,209,1,32.4,1,34.61813
2023,209,2,32.58,1,34.05504
2023,209,3,31.14,1,33.16272
2023,209,4,31.12,1,32.33575
2023,209,5,29.17,1,31.66467
2023,209,6,29.84,1,31.7189
2023,209,7,31.93,1,33.78861
2023,209,8,35.44,1,34.97498
2023,209,9,33.2,1,35.54458
2023,209,10,33.39,1,35.94653
2023,209,11,37.5,1,36.95711
2023,209,12,37.96,1,38.61769
2023,209,13,38.94,1,40.91935
2023,209,14,41.17,1,42.14376
