year,julian-day,standard-time,leaftemp
2023,205,17,41.873333333333335
2023,205,18,40.62833333333333
2023,205,19,39.89555555555555
2023,205,20,38.44
2023,205,21,37.51888888888889
2023,205,22,36.815555555555555
2023,205,23,35.63944444444444
2023,206,0,33.45444444444444
2023,206,1,32.36833333333333
2023,206,2,32.42777777777778
2023,206,3,31.834444444444443
2023,206,4,30.77111111111111
2023,206,5,29.858333333333334
2023,206,6,28.672777777777778
2023,206,7,29.345555555555556
2023,206,8,32.33722222222222
2023,206,9,34.099047619047624
2023,206,10,36.36619047619048
2023,206,11,38.657222222222224
2023,206,12,40.92388888888889
2023,206,13,42.66777777777778
2023,206,14,43.617777777777775
2023,206,15,44.05222222222223
2023,206,16,43.30222222222222
2023,206,17,43.585
2023,206,18,43.10444444444445
2023,206,19,40.68611111111111
2023,206,20,40.18388888888889
2023,206,21,39.35333333333333
2023,206,22,38.88
2023,206,23,37.90888888888889
2023,207,0,37.224444444444444
2023,207,1,36.55166666666667
2023,207,2,35.336666666666666
2023,207,3,34.36555555555556
2023,207,4,31.257777777777775
2023,207,5,30.516666666666666
2023,207,6,30.264444444444443
2023,207,7,31.116666666666667
2023,207,8,34.32888888888888
2023,207,9,36.30555555555556
2023,207,10,37.99166666666667
2023,207,11,39.675555555555555
2023,207,12,41.70777777777778
2023,207,13,43.51166666666667
2023,207,14,44.221666666666664
2023,207,15,44.25888888888889
2023,207,16,44.21411764705882
2023,207,17,44.531875
2023,207,18,43.950625
2023,207,19,42.0775
2023,207,20,40.03625
2023,207,21,39.528125
2023,207,22,33.363125
2023,207,23,26.099375
2023,208,0,28.345625000000002
2023,208,1,28.4
2023,208,2,29.33375
2023,208,3,29.975
2023,208,4,28.73375
2023,208,5,27.910625
2023,208,6,26.97375
2023,208,7,30.425625
2023,208,8,33.475625
2023,208,9,36.02875
2023,208,10,38.61875
2023,208,11,40.161875
2023,208,12,40.996875
2023,208,13,42.23625
2023,208,14,41.47875
2023,208,15,42.08375
2023,208,16,42.35875
2023,208,17,43.323125
2023,208,18,42.848125
2023,208,19,40.386875
2023,208,20,38.608125
2023,208,21,37.88875
2023,208,22,36.84875
2023,208,23,35.05875
2023,209,0,33.425625
2023,209,1,32.115
2023,209,2,31.90625
2023,209,3,30.904375
2023,209,4,30.189375000000002
2023,209,5,29.27375
2023,209,6,29.743125
2023,209,7,31.185
2023,209,8,33.04625
2023,209,9,33.2975
