year,julian-day,standard-time,solar,rain,wind,T-air,T-soil,D-MD,GW,E-MD,P-PD,P-MD,K-plant
2023,201,0,0.0,6.82,0.5,35.318,34.129999999999995,4.243358099036221,,,,,
2023,201,1,0.0,0.25,0.0,31.873,32.68000000000001,3.360783097017035,,,,,
2023,201,2,0.0,0.5,0.0,31.0775,31.31,3.079170629205803,,,,,
2023,201,3,0.0,0.25,0.0,30.0415,30.04000000000002,2.831884966584681,,,0.445,,
2023,201,4,0.0,0.5,0.0,29.3525,28.910000000000025,2.676825191649552,,,0.445,,
2023,201,5,5.470459518599562,0.25,0.0,30.22,27.950000000000045,2.83523042816431,,,0.445,,
2023,201,6,62.08971553610503,6.82,0.505,33.249,27.29000000000002,3.509103889730767,,,,,
2023,201,7,146.60831509846827,0.25,1.01,35.531,27.69,4.148636929801517,241.0,8.236,,,326.415372
2023,201,8,233.04157549234137,0.5,0.5,37.701,29.28000000000003,4.870089769005471,241.0,8.236,,,326.415372
2023,201,9,304.4310722100656,0.5,1.01,38.065,31.210000000000036,5.000314999220267,241.0,8.236,,,326.415372
2023,201,10,359.6827133479212,0.25,1.76,39.2355,33.34000000000003,5.573696681503407,,,,,
2023,201,11,395.24070021881835,0.5,2.52,40.938,35.620000000000005,6.242741963566639,,,,,
2023,201,12,402.07877461706784,6.82,2.265,42.1345,37.83000000000004,6.798119284445149,,,,2.259,
2023,201,13,379.1028446389497,0.25,3.02,42.565,39.85000000000002,7.13082677050452,,,,,
2023,201,14,335.33916849015316,0.5,3.27,43.1075,41.64000000000004,7.492363119584358,,,,,
2023,201,15,270.7877461706783,0.5,3.52,43.9835,43.03000000000003,7.795879648330832,170.0,10.426,,,408.773808
2023,201,16,192.83369803063457,0.25,3.27,43.951,43.93000000000001,7.755501303501544,170.0,10.426,,,408.773808
2023,201,17,112.417943107221,0.25,3.27,43.088,44.30000000000001,7.4282763149844975,170.0,10.426,,,408.773808
2023,201,18,39.66083150984682,6.82,3.02,42.2675,44.110000000000014,7.120399788799315,,,,,
2023,201,19,3.008752735229759,0.25,2.265,40.7755,43.400000000000034,6.531560070338417,,,,,
2023,201,20,0.0,0.25,1.51,40.272,41.5,6.291756774543781,,,,,
2023,201,21,0.0,0.5,1.76,38.7985,39.30000000000001,5.852814834547148,,,,,
2023,201,22,0.0,0.25,1.51,37.645,37.34000000000003,5.479714455329248,,,,,
2023,201,23,0.0,0.25,2.265,37.4805,35.47000000000003,5.434223597919782,,,,,
2023,202,0,0.0,6.57,2.52,36.621,33.74000000000001,5.191746460504003,,,,,
2023,202,1,0.0,0.25,1.26,33.9005,32.200000000000045,4.298295698742103,,,,,
2023,202,2,0.0,0.5,1.26,33.196,30.75,4.076298473809373,,,,,
2023,202,3,0.0,0.25,0.755,30.634,29.420000000000016,3.4028437491026993,,,0.618,,
2023,202,4,0.0,0.25,0.25,29.9425,28.24000000000001,3.0739354971563437,,,0.618,,
2023,202,5,4.3763676148796495,0.25,2.765,31.626,27.160000000000025,3.192969092945335,,,0.618,,
2023,202,6,55.25164113785558,6.57,3.27,31.4715,26.340000000000032,2.7403135810625674,,,,,
2023,202,7,139.49671772428883,0.5,3.27,31.9575,26.629999999999995,2.795488677307491,198.0,5.776,,,260.87358
2023,202,8,224.56236323851203,0.25,4.03,33.183,28.28000000000003,3.0766091466684315,198.0,5.776,,,260.87358
2023,202,9,297.04595185995623,0.25,2.515,34.638,30.28000000000003,3.5241467019237143,198.0,5.776,,,260.87358
2023,202,10,353.9387308533917,0.5,1.51,36.5925,32.5,4.185624620190227,,,,,
2023,202,11,387.035010940919,0.25,1.76,38.5185,34.76000000000005,4.994711930325765,,,,,
2023,202,12,410.28446389496713,6.82,1.76,39.708,36.910000000000025,5.516599215718521,,,,2.126,
2023,202,13,368.1619256017505,0.25,2.52,40.7465,38.860000000000014,5.937734864988453,,,,,
2023,202,14,336.15973741794306,0.5,3.27,41.385,40.620000000000005,6.288770036014182,,,,,
2023,202,15,268.0525164113785,0.25,3.27,41.913,42.06,6.551972803376633,98.0,6.212,,,287.607732
2023,202,16,186.81619256017504,0.25,2.77,42.822,43.07000000000005,7.10307472860343,98.0,6.212,,,287.607732
2023,202,17,106.94748358862144,0.5,3.02,42.6155,43.64000000000004,7.081888386545682,98.0,6.212,,,287.607732
2023,202,18,33.09628008752735,6.57,2.265,41.2445,43.69,6.5104174829375285,,,,,
2023,202,19,3.008752735229759,0.25,1.51,42.164,43.21000000000003,6.8790196117657745,,,,,
2023,202,20,0.0,0.5,2.765,39.023,41.47000000000003,5.471960242610068,,,,,
2023,202,21,0.0,0.25,1.26,39.8255,39.64000000000004,5.642758469332746,,,,,
2023,202,22,0.0,0.5,4.025,38.9385,38.02000000000004,5.509947107103361,,,,,
2023,202,23,0.0,0.25,4.275,37.0965,36.39000000000004,4.816853770812216,,,,,
2023,203,0,0.0,6.57,2.01,36.525,34.82000000000005,4.607722604676725,,,,,
2023,203,1,0.0,0.25,2.01,35.77,33.420000000000016,4.338612967111823,,,,,
2023,203,2,0.0,0.5,1.26,34.48,32.08000000000004,3.919803189667758,,,,,
2023,203,3,0.0,0.25,0.25,34.058,30.840000000000032,3.786158189249626,,,,,
2023,203,4,0.0,0.25,0.0,31.602,29.730000000000015,3.221186207804727,,,,,
2023,203,5,3.555798687089715,0.25,0.0,32.4595,28.950000000000045,3.234742703931574,,,,,
2023,203,6,54.43107221006564,6.57,0.5,34.5055,28.510000000000048,3.774802743931705,,,,,
2023,203,7,146.60831509846827,0.5,0.755,36.3125,29.090000000000032,4.2943537263276035,,,,,
2023,203,8,181.61925601750545,0.25,0.755,37.895,30.470000000000027,4.9314477821018725,,,,,
2023,203,9,230.30634573304155,0.25,0.5,39.0515,32.03000000000003,5.361051120539084,,,,,
2023,203,10,346.55361050328224,0.5,1.26,40.488,33.710000000000036,6.000763434213782,,,,,
2023,203,11,340.26258205689277,0.25,1.26,40.69,35.32000000000005,6.057816026721899,,,,,
