year,julian-day,standard-time,leaftemp
2023,205,17,38.995555555555555
2023,205,18,36.855555555555554
2023,205,19,37.27055555555555
2023,205,20,37.275000000000006
2023,205,21,36.78388888888889
2023,205,22,36.08777777777778
2023,205,23,35.10944444444445
2023,206,0,32.871111111111105
2023,206,1,32.126666666666665
2023,206,2,32.31722222222223
2023,206,3,31.52722222222222
2023,206,4,30.36111111111111
2023,206,5,29.488888888888887
2023,206,6,28.731666666666666
2023,206,7,29.220555555555556
2023,206,8,31.311666666666667
2023,206,9,32.58095238095238
2023,206,10,34.55904761904762
2023,206,11,36.29888888888889
2023,206,12,38.080555555555556
2023,206,13,38.99333333333333
2023,206,14,39.57111111111111
2023,206,15,40.21388888888889
2023,206,16,39.904444444444444
2023,206,17,39.571666666666665
2023,206,18,38.73222222222223
2023,206,19,38.23722222222222
2023,206,20,38.71222222222222
2023,206,21,38.47222222222222
2023,206,22,38.15611111111111
2023,206,23,37.324444444444445
2023,207,0,36.85277777777778
2023,207,1,36.18611111111111
2023,207,2,34.885
2023,207,3,33.85277777777778
2023,207,4,30.44722222222222
2023,207,5,29.967777777777776
2023,207,6,29.52777777777778
2023,207,7,31.018888888888892
2023,207,8,32.986666666666665
2023,207,9,34.52722222222222
2023,207,10,36.14
2023,207,11,37.31944444444444
2023,207,12,39.294999999999995
2023,207,13,40.48388888888889
2023,207,14,40.86833333333333
2023,207,15,41.05166666666666
2023,207,16,41.67055555555555
2023,207,17,40.90555555555555
2023,207,18,40.18388888888889
2023,207,19,39.44166666666667
2023,207,20,39.08
2023,207,21,38.80944444444444
2023,207,22,32.303333333333335
2023,207,23,25.341666666666665
2023,208,0,28.64611111111111
2023,208,1,28.798333333333332
2023,208,2,29.606111111111108
2023,208,3,29.91111111111111
2023,208,4,28.51611111111111
2023,208,5,27.691111111111113
2023,208,6,26.590555555555554
2023,208,7,29.757777777777775
2023,208,8,32.70222222222222
2023,208,9,34.68444444444444
2023,208,10,37.88388888888889
2023,208,11,38.507222222222225
2023,208,12,39.69722222222222
2023,208,13,40.24777777777778
2023,208,14,38.89055555555555
2023,208,15,39.81333333333333
2023,208,16,40.84444444444445
2023,208,17,40.51444444444444
2023,208,18,39.517222222222216
2023,208,19,38.29611111111112
2023,208,20,37.666111111111114
2023,208,21,37.34388888888889
2023,208,22,36.22
2023,208,23,34.371111111111105
2023,209,0,32.968333333333334
2023,209,1,31.907222222222224
2023,209,2,32.071666666666665
2023,209,3,30.715555555555554
2023,209,4,30.21833333333333
2023,209,5,28.720555555555556
2023,209,6,29.442777777777778
2023,209,7,30.207222222222224
2023,209,8,32.410555555555554
2023,209,9,31.671666666666667
2023,209,10,32.32944444444445
2023,209,11,34.84833333333333
2023,209,12,35.846666666666664
2023,209,13,36.708888888888886
2023,209,14,37.39277777777777
2023,209,15,38.38111111111111
2023,209,16,38.778888888888886
2023,209,17,38.13
2023,209,18,37.44388888888889
2023,209,19,36.88722222222222
2023,209,20,37.998333333333335
2023,209,21,36.52722222222222
2023,209,22,36.101111111111116
2023,209,23,34.13722222222222
2023,210,0,33.263333333333335
2023,210,1,32.16888888888889
2023,210,2,32.785555555555554
2023,210,3,31.049999999999997
2023,210,4,31.720000000000002
2023,210,5,31.544999999999998
2023,210,6,30.01166666666667
2023,210,7,29.121666666666663
2023,210,8,30.50111111111111
2023,210,9,33.19777777777777
2023,210,10,34.05166666666666
2023,210,11,37.105
2023,210,12,36.992777777777775
2023,210,13,37.61277777777778
2023,210,14,37.89055555555555
2023,210,15,38.474999999999994
2023,210,16,38.995
2023,210,17,37.68333333333333
2023,210,18,37.101111111111116
2023,210,19,37.08777777777778
2023,210,20,38.025000000000006
2023,210,21,38.09833333333333
2023,210,22,36.235
2023,210,23,36.178333333333335
2023,211,0,35.44277777777778
2023,211,1,35.486111111111114
2023,211,2,33.30722222222222
2023,211,3,33.23888888888889
2023,211,4,33.70222222222222
2023,211,5,32.467777777777776
2023,211,6,31.214444444444446
2023,211,7,30.641666666666666
2023,211,8,30.867222222222225
2023,211,9,33.33444444444444
2023,211,10,35.73166666666666
2023,211,11,33.14111111111111
2023,211,12,34.0
2023,211,13,35.17666666666667
2023,211,14,35.67666666666667
2023,211,15,35.36944444444444
2023,211,16,36.44833333333334
2023,211,17,36.99055555555556
2023,211,18,36.04333333333333
2023,211,19,35.39
2023,211,20,34.03888888888889
2023,211,21,34.90222222222222
2023,211,22,34.34888888888889
2023,211,23,32.63722222222222
2023,212,0,31.234444444444446
2023,212,1,25.197222222222223
2023,212,2,27.20888888888889
2023,212,3,26.490555555555556
2023,212,4,26.09777777777778
2023,212,5,25.631666666666668
2023,212,6,26.022222222222222
2023,212,7,26.99277777777778
2023,212,8,29.127777777777776
2023,212,9,30.82
2023,212,10,32.403333333333336
2023,212,11,33.63055555555556
2023,212,12,34.22555555555555
2023,212,13,35.42111111111112
2023,212,14,35.13666666666667
2023,212,15,36.00222222222222
2023,212,16,36.14277777777778
2023,212,17,35.92333333333333
2023,212,18,34.910555555555554
2023,212,19,34.40277777777778
2023,212,20,34.94611111111111
2023,212,21,34.74777777777778
2023,212,22,33.516666666666666
2023,212,23,30.648888888888887
2023,213,0,30.022777777777776
2023,213,1,28.163888888888888
2023,213,2,27.837777777777777
2023,213,3,27.25722222222222
2023,213,4,26.703333333333333
2023,213,5,26.04111111111111
2023,213,6,25.89611111111111
2023,213,7,27.5
2023,213,8,29.474444444444444
2023,213,9,31.16277777777778
2023,213,10,32.47555555555555
2023,213,11,33.73777777777778
2023,213,12,34.92444444444445
2023,213,13,35.41222222222222
2023,213,14,35.202777777777776
2023,213,15,35.18944444444444
2023,213,16,36.60333333333333
2023,213,17,36.294444444444444
2023,213,18,34.555
2023,213,19,34.33166666666667
2023,213,20,34.037777777777784
2023,213,21,32.76555555555555
2023,213,22,31.38666666666667
2023,213,23,32.702777777777776
2023,214,0,33.255
2023,214,1,32.795
2023,214,2,32.50333333333333
2023,214,3,31.782222222222224
2023,214,4,31.606111111111108
2023,214,5,30.778333333333332
2023,214,6,28.404444444444444
2023,214,7,28.38222222222222
2023,214,8,31.055555555555557
2023,214,9,32.43555555555556
2023,214,10,33.95611111111111
2023,214,11,33.711666666666666
2023,214,12,34.73
2023,214,13,34.61555555555556
2023,214,14,37.12166666666666
2023,214,15,36.474444444444444
