pot,leaf,population,pop.short,pop.geno,elevation,genotype,rep,observation,am.pm,time,date,meas.week,week.of.year,treatment,treatment.levels,gsw,rh,t.ref,t.leaf,delta.t,svp,lsvp,vpd,vpd.kpa
1,1,NRV-NEW,NRV,NRV101,666,101,4,172,am,8:46:00,7/20/23,1,29,predrought,predrought,0.21,21.31,40.59,34.34,6.25,7609.8,5420.2,3798.55,3.8
1,1,NRV-NEW,NRV,NRV101,666,101,4,173,am,8:47:00,7/20/23,1,29,predrought,predrought,0.342,21.42,40.6,35.17,5.43,7613.83,5675.1,4044.22,4.04
1,2,NRV-NEW,NRV,NRV101,666,101,4,174,am,8:47:00,7/20/23,1,29,predrought,predrought,0.158,20.51,40.61,36.7,3.91,7617.88,6172.31,4609.88,4.61
1,2,NRV-NEW,NRV,NRV101,666,101,4,175,am,8:48:00,7/20/23,1,29,predrought,predrought,0.239,20.13,40.64,36.36,4.28,7630.01,6058.67,4522.75,4.52
1,3,NRV-NEW,NRV,NRV101,666,101,4,176,am,8:48:00,7/20/23,1,29,predrought,predrought,0.181,19.79,40.66,36.35,4.31,7638.11,6055.36,4543.78,4.54
1,3,NRV-NEW,NRV,NRV101,666,101,4,177,am,8:48:00,7/20/23,1,29,predrought,predrought,0.363,20.19,40.67,35.11,5.56,7642.16,5656.33,4113.38,4.11
2,1,NRV-NEW,NRV,NRV101,666,101,11,135,am,8:26:00,7/20/23,1,29,predrought,predrought,0.242,21.68,39.58,33.64,5.94,7211.25,5213,3649.6,3.65
2,1,NRV-NEW,NRV,NRV101,666,101,11,136,am,8:26:00,7/20/23,1,29,predrought,predrought,0.382,21.81,39.61,34.53,5.08,7222.82,5477.66,3902.36,3.9
2,2,NRV-NEW,NRV,NRV101,666,101,11,137,am,8:27:00,7/20/23,1,29,predrought,predrought,0.273,22.73,39.66,33.36,6.3,7242.15,5132.07,3485.93,3.49
2,2,NRV-NEW,NRV,NRV101,666,101,11,138,am,8:27:00,7/20/23,1,29,predrought,predrought,0.427,21.45,39.68,32.86,6.82,7249.89,4990.25,3435.15,3.44
2,3,NRV-NEW,NRV,NRV101,666,101,11,139,am,8:28:00,7/20/23,1,29,predrought,predrought,0.266,23.51,39.72,34.45,5.27,7265.39,5453.4,3745.31,3.75
2,3,NRV-NEW,NRV,NRV101,666,101,11,140,am,8:28:00,7/20/23,1,29,predrought,predrought,0.312,21.84,39.72,34.19,5.53,7265.39,5375.21,3788.45,3.79
3,1,NRV-NEW,NRV,NRV101,666,101,14,123,am,8:21:00,7/20/23,1,29,predrought,predrought,0.182,22.83,39.24,33.85,5.39,7081.21,5274.43,3657.79,3.66
3,1,NRV-NEW,NRV,NRV101,666,101,14,124,am,8:21:00,7/20/23,1,29,predrought,predrought,0.325,22.41,39.24,33.87,5.37,7081.21,5280.31,3693.41,3.69
3,2,NRV-NEW,NRV,NRV101,666,101,14,125,am,8:22:00,7/20/23,1,29,predrought,predrought,0.078,21.76,39.24,35.37,3.87,7081.21,5738.06,4197.18,4.2
3,2,NRV-NEW,NRV,NRV101,666,101,14,126,am,8:22:00,7/20/23,1,29,predrought,predrought,0.203,22.82,39.25,35.33,3.92,7085.01,5725.42,4108.62,4.11
3,3,NRV-NEW,NRV,NRV101,666,101,14,127,am,8:22:00,7/20/23,1,29,predrought,predrought,0.214,22.14,39.27,33.78,5.49,7092.61,5253.88,3683.58,3.68
3,3,NRV-NEW,NRV,NRV101,666,101,14,128,am,8:23:00,7/20/23,1,29,predrought,predrought,0.362,21.36,39.28,35.81,3.47,7096.41,5878.69,4362.9,4.36
4,1,NRV-NEW,NRV,NRV104,666,104,3,26,am,7:34:00,7/20/23,1,29,predrought,predrought,0.065,28.7,33.99,34.25,-0.26,5315.73,5393.17,3867.55,3.87
4,1,NRV-NEW,NRV,NRV104,666,104,3,27,am,7:35:00,7/20/23,1,29,predrought,predrought,0.117,28.79,34.1,32.92,1.18,5348.37,5007.09,3467.29,3.47
4,2,NRV-NEW,NRV,NRV104,666,104,3,28,am,7:35:00,7/20/23,1,29,predrought,predrought,0.206,29.04,34.21,31.36,2.85,5381.19,4585.02,3022.32,3.02
4,2,NRV-NEW,NRV,NRV104,666,104,3,29,am,7:35:00,7/20/23,1,29,predrought,predrought,0.142,28.82,34.3,31.15,3.15,5408.17,4530.64,2972,2.97
4,3,NRV-NEW,NRV,NRV104,666,104,3,30,am,7:36:00,7/20/23,1,29,predrought,predrought,0.156,28.27,34.56,33.03,1.53,5486.78,5038.08,3486.97,3.49
4,3,NRV-NEW,NRV,NRV104,666,104,3,31,am,7:37:00,7/20/23,1,29,predrought,predrought,0.226,28.28,34.62,31.96,2.66,5505.06,4743.55,3186.71,3.19
7,1,NRV-NEW,NRV,NRV105,666,105,9,68,am,8:00:00,7/20/23,1,29,predrought,predrought,0.205,25.21,37.9,33.8,4.1,6588.26,5259.75,3598.85,3.6
7,1,NRV-NEW,NRV,NRV105,666,105,9,69,am,8:01:00,7/20/23,1,29,predrought,predrought,0.36,24.11,37.93,32.85,5.08,6598.96,4987.45,3396.44,3.4
7,2,NRV-NEW,NRV,NRV105,666,105,9,71,am,8:02:00,7/20/23,1,29,predrought,predrought,0.113,24.89,37.95,33.92,4.03,6606.1,5295.04,3650.78,3.65
7,2,NRV-NEW,NRV,NRV105,666,105,9,72,am,8:02:00,7/20/23,1,29,predrought,predrought,0.274,25.18,37.95,31.46,6.49,6606.1,4611.12,2947.7,2.95
7,3,NRV-NEW,NRV,NRV105,666,105,9,73,am,8:02:00,7/20/23,1,29,predrought,predrought,0.194,25.61,37.96,32.96,5,6609.68,5018.34,3325.6,3.33
7,3,NRV-NEW,NRV,NRV105,666,105,9,74,am,8:02:00,7/20/23,1,29,predrought,predrought,0.173,24.95,37.97,33.46,4.51,6613.25,5160.85,3510.84,3.51
8,1,NRV-NEW,NRV,NRV105,666,105,10,44,am,7:47:00,7/20/23,1,29,predrought,predrought,0.305,25.62,36.45,32.29,4.16,6088.57,4832.75,3272.85,3.27
8,1,NRV-NEW,NRV,NRV105,666,105,10,45,am,7:48:00,7/20/23,1,29,predrought,predrought,0.264,26.04,36.46,31.64,4.82,6091.9,4658.42,3072.08,3.07
8,2,NRV-NEW,NRV,NRV105,666,105,10,46,am,7:49:00,7/20/23,1,29,predrought,predrought,0.263,26.36,36.56,31.63,4.93,6125.29,4655.78,3041.15,3.04
8,2,NRV-NEW,NRV,NRV105,666,105,10,47,am,7:49:00,7/20/23,1,29,predrought,predrought,0.38,26.72,36.59,31.65,4.94,6135.34,4661.06,3021.69,3.02
8,3,NRV-NEW,NRV,NRV105,666,105,10,48,am,7:50:00,7/20/23,1,29,predrought,predrought,0.328,25.82,36.67,32.79,3.88,6162.21,4970.67,3379.59,3.38
8,3,NRV-NEW,NRV,NRV105,666,105,10,49,am,7:50:00,7/20/23,1,29,predrought,predrought,0.287,25.48,36.73,31.43,5.3,6182.42,4603.28,3027.99,3.03
12,1,NRV-NEW,NRV,NRV118,666,118,5,93,am,8:10:00,7/20/23,1,29,predrought,predrought,0.191,24.04,38.46,33.66,4.8,6790.53,5218.83,3586.38,3.59
12,1,NRV-NEW,NRV,NRV118,666,118,5,94,am,8:10:00,7/20/23,1,29,predrought,predrought,0.262,24.42,38.48,35.25,3.23,6797.85,5700.21,4040.18,4.04
12,2,NRV-NEW,NRV,NRV118,666,118,5,95,am,8:10:00,7/20/23,1,29,predrought,predrought,0.193,23.66,38.52,33.75,4.77,6812.52,5245.1,3633.26,3.63
12,2,NRV-NEW,NRV,NRV118,666,118,5,96,am,8:11:00,7/20/23,1,29,predrought,predrought,0.321,23.37,38.54,33.6,4.94,6819.86,5201.37,3607.57,3.61
12,3,NRV-NEW,NRV,NRV118,666,118,5,97,am,8:11:00,7/20/23,1,29,predrought,predrought,0.268,22.93,38.57,33.62,4.95,6830.89,5207.18,3640.86,3.64
12,3,NRV-NEW,NRV,NRV118,666,118,5,98,am,8:11:00,7/20/23,1,29,predrought,predrought,0.17,23.13,38.58,33.95,4.63,6834.57,5303.9,3723.06,3.72
18,1,NRV-NEW,NRV,NRV122,666,122,5,129,am,8:23:00,7/20/23,1,29,predrought,predrought,0.195,21.84,39.31,36.69,2.62,7107.82,6168.94,4616.59,4.62
18,1,NRV-NEW,NRV,NRV122,666,122,5,130,am,8:23:00,7/20/23,1,29,predrought,predrought,0.15,21.96,39.34,34.77,4.57,7119.25,5550.99,3987.6,3.99
18,1,NRV-NEW,NRV,NRV122,666,122,5,141,am,8:29:00,7/20/23,1,29,predrought,predrought,0.084,20.86,39.73,35.36,4.37,7269.27,5734.89,4218.52,4.22
18,1,NRV-NEW,NRV,NRV122,666,122,5,142,am,8:29:00,7/20/23,1,29,predrought,predrought,0.105,21.81,39.74,36.43,3.31,7273.16,6081.92,4495.64,4.5
18,2,NRV-NEW,NRV,NRV122,666,122,5,131,am,8:24:00,7/20/23,1,29,predrought,predrought,0.147,21.49,39.37,34.28,5.09,7130.69,5402.16,3869.78,3.87
18,2,NRV-NEW,NRV,NRV122,666,122,5,132,am,8:24:00,7/20/23,1,29,predrought,predrought,0.27,21.3,39.44,35.12,4.32,7157.46,5659.46,4134.92,4.13
18,2,NRV-NEW,NRV,NRV122,666,122,5,143,am,8:30:00,7/20/23,1,29,predrought,predrought,0.255,22.47,39.75,35.89,3.86,7277.04,5904.58,4269.43,4.27
18,2,NRV-NEW,NRV,NRV122,666,122,5,144,am,8:30:00,7/20/23,1,29,predrought,predrought,0.118,21.96,39.78,35.1,4.68,7288.71,5653.21,4052.61,4.05
18,3,NRV-NEW,NRV,NRV122,666,122,5,133,am,8:25:00,7/20/23,1,29,predrought,predrought,0.039,21.26,39.51,35.72,3.79,7184.31,5849.68,4322.3,4.32
18,3,NRV-NEW,NRV,NRV122,666,122,5,134,am,8:25:00,7/20/23,1,29,predrought,predrought,0.136,21.26,39.54,38.1,1.44,7195.85,6659.89,5130.06,5.13
18,3,NRV-NEW,NRV,NRV122,666,122,5,145,am,8:31:00,7/20/23,1,29,predrought,predrought,0.245,21.09,39.8,35.55,4.25,7296.49,5795.23,4256.4,4.26
18,3,NRV-NEW,NRV,NRV122,666,122,5,146,am,8:31:00,7/20/23,1,29,predrought,predrought,0.131,21.66,39.83,34.73,5.1,7308.18,5538.71,3955.76,3.96
19,1,NRV-NEW,NRV,NRV123,666,123,3,2,am,7:24:00,7/20/23,1,29,predrought,predrought,0.213,34.93,30.18,29.23,0.95,4286.64,4058.83,2561.51,2.56
19,1,NRV-NEW,NRV,NRV123,666,123,3,3,am,7:25:00,7/20/23,1,29,predrought,predrought,0.261,34.27,30.61,30.4,0.21,4393.35,4340.95,2835.35,2.84
19,2,NRV-NEW,NRV,NRV123,666,123,3,4,am,7:26:00,7/20/23,1,29,predrought,predrought,0.142,35.74,30.95,30.38,0.57,4479.36,4335.99,2735.07,2.74
19,2,NRV-NEW,NRV,NRV123,666,123,3,5,am,7:26:00,7/20/23,1,29,predrought,predrought,0.147,34.75,31.12,30.63,0.49,4522.91,4398.37,2826.66,2.83
19,3,NRV-NEW,NRV,NRV123,666,123,3,6,am,7:26:00,7/20/23,1,29,predrought,predrought,0.174,33.93,31.31,30.89,0.42,4572.02,4464.08,2912.79,2.91
19,3,NRV-NEW,NRV,NRV123,666,123,3,7,am,7:27:00,7/20/23,1,29,predrought,predrought,0.276,33.96,31.47,29.98,1.49,4613.73,4237.78,2670.95,2.67
20,1,NRV-NEW,NRV,NRV123,666,123,7,14,am,7:30:00,7/20/23,1,29,predrought,predrought,0.278,30.31,32.75,31.28,1.47,4959.52,4564.24,3061.01,3.06
20,1,NRV-NEW,NRV,NRV123,666,123,7,15,am,7:30:00,7/20/23,1,29,predrought,predrought,0.19,30.56,32.86,30.55,2.31,4990.25,4378.33,2853.31,2.85
20,2,NRV-NEW,NRV,NRV123,666,123,7,16,am,7:31:00,7/20/23,1,29,predrought,predrought,0.371,30.3,33,30.65,2.35,5029.61,4403.4,2879.43,2.88
20,2,NRV-NEW,NRV,NRV123,666,123,7,17,am,7:31:00,7/20/23,1,29,predrought,predrought,0.2,29.89,33.1,30.12,2.98,5057.89,4271.93,2760.12,2.76
20,3,NRV-NEW,NRV,NRV123,666,123,7,18,am,7:32:00,7/20/23,1,29,predrought,predrought,0.258,29.63,33.25,32.68,0.57,5100.57,4940.04,3428.74,3.43
20,3,NRV-NEW,NRV,NRV123,666,123,7,19,am,7:32:00,7/20/23,1,29,predrought,predrought,0.101,30.24,33.32,31.69,1.63,5120.6,4671.63,3123.16,3.12
21,1,TSZ-SAN,TSZ,TSZ10,1212,10,1,160,am,8:42:00,7/20/23,1,29,predrought,predrought,0.271,20.65,40.47,35.51,4.96,7561.47,5782.48,4221.04,4.22
21,1,TSZ-SAN,TSZ,TSZ10,1212,10,1,161,am,8:42:00,7/20/23,1,29,predrought,predrought,0.317,20.56,40.45,34.52,5.93,7553.44,5474.62,3921.63,3.92
21,2,TSZ-SAN,TSZ,TSZ10,1212,10,1,162,am,8:43:00,7/20/23,1,29,predrought,predrought,0.276,21.03,40.44,35.2,5.24,7549.43,5684.51,4096.86,4.1
21,2,TSZ-SAN,TSZ,TSZ10,1212,10,1,163,am,8:43:00,7/20/23,1,29,predrought,predrought,0.401,20.38,40.43,34.76,5.67,7545.42,5547.92,4010.16,4.01
21,3,TSZ-SAN,TSZ,TSZ10,1212,10,1,164,am,8:43:00,7/20/23,1,29,predrought,predrought,0.21,20.91,40.43,35.66,4.77,7545.42,5830.41,4252.67,4.25
21,3,TSZ-SAN,TSZ,TSZ10,1212,10,1,165,am,8:44:00,7/20/23,1,29,predrought,predrought,0.201,21.74,40.43,36.79,3.64,7545.42,6202.69,4562.32,4.56
22,1,NRV-NEW,NRV,NRV123,666,123,8,154,am,8:38:00,7/20/23,1,29,predrought,predrought,0.331,21.33,40.31,34.07,6.24,7497.45,5339.45,3740.24,3.74
22,1,NRV-NEW,NRV,NRV123,666,123,8,155,am,8:38:00,7/20/23,1,29,predrought,predrought,0.365,21.14,40.32,35.36,4.96,7501.43,5734.89,4149.09,4.15
22,2,NRV-NEW,NRV,NRV123,666,123,8,156,am,8:39:00,7/20/23,1,29,predrought,predrought,0.214,20.98,40.35,35.1,5.25,7513.41,5653.21,4076.9,4.08
22,2,NRV-NEW,NRV,NRV123,666,123,8,157,am,8:39:00,7/20/23,1,29,predrought,predrought,0.291,20.82,40.36,35.93,4.43,7517.4,5917.56,4352.43,4.35
