year,julian-day,standard-time,leaftemp
2023,205,17,43.62625
2023,205,18,38.59625
2023,205,19,37.446875
2023,205,20,37.79125
2023,205,21,37.4075
2023,205,22,36.6325
2023,205,23,35.574375
2023,206,0,33.285625
2023,206,1,32.21875
2023,206,2,32.31875
2023,206,3,31.66875
2023,206,4,30.573125
2023,206,5,29.70625
2023,206,6,29.088124999999998
2023,206,7,30.241875
2023,206,8,31.865625
2023,206,9,33.34263157894737
2023,206,10,35.37263157894737
2023,206,11,37.508125
2023,206,12,39.011250000000004
2023,206,13,40.321875
2023,206,14,41.038125
2023,206,15,41.82875
2023,206,16,41.531875
2023,206,17,41.0575
2023,206,18,40.544375
2023,206,19,39.16875
2023,206,20,39.63
2023,206,21,39.079375
2023,206,22,38.618125
2023,206,23,37.659375
2023,207,0,37.08375
2023,207,1,36.431875
2023,207,2,35.17125
2023,207,3,34.226875
2023,207,4,31.03625
2023,207,5,30.429375
2023,207,6,30.203125
2023,207,7,30.683125
2023,207,8,32.349375
2023,207,9,35.026875000000004
2023,207,10,36.79875
2023,207,11,38.360625
2023,207,12,40.191874999999996
2023,207,13,41.263125
2023,207,14,42.06375
2023,207,15,42.493125
2023,207,16,42.564375
2023,207,17,42.351875
2023,207,18,41.67875
2023,207,19,40.446875
2023,207,20,40.029375
2023,207,21,39.5275
2023,207,22,32.824374999999996
2023,207,23,25.565625
2023,208,0,28.531875
2023,208,1,28.86
2023,208,2,29.87625
2023,208,3,30.1
2023,208,4,28.64875
2023,208,5,27.78875
2023,208,6,26.563125
2023,208,7,29.898125
2023,208,8,31.966874999999998
2023,208,9,33.664375
2023,208,10,36.135625
2023,208,11,37.70125
2023,208,12,39.06625
2023,208,13,39.885625
2023,208,14,38.63
2023,208,15,39.44125
2023,208,16,40.81625
2023,208,17,40.919375
2023,208,18,39.826875
2023,208,19,38.53125
2023,208,20,37.949375
2023,208,21,37.5625
2023,208,22,36.536875
2023,208,23,34.645
2023,209,0,33.156875
2023,209,1,32.095625
2023,209,2,32.3375
2023,209,3,31.09125
2023,209,4,30.51375
2023,209,5,28.83125
2023,209,6,29.00625
2023,209,7,30.17375
2023,209,8,31.426875
2023,209,9,31.35
2023,209,10,31.77125
2023,209,11,35.565625
2023,209,12,36.561875
2023,209,13,37.999375
2023,209,14,38.88375
2023,209,15,39.67875
2023,209,16,39.776250000000005
2023,209,17,39.046875
2023,209,18,38.02875
2023,209,19,36.835
2023,209,20,38.06
2023,209,21,36.97
2023,209,22,36.3275
2023,209,23,34.230625
2023,210,0,33.39375
2023,210,1,32.615625
2023,210,2,32.9575
2023,210,3,31.309375
2023,210,4,31.958750000000002
2023,210,5,31.378124999999997
2023,210,6,29.2125
2023,210,7,29.018125
2023,210,8,30.041875
2023,210,9,32.571875
2023,210,10,33.545625
2023,210,11,36.550625
2023,210,12,37.15875
2023,210,13,38.24
2023,210,14,38.60625
2023,210,15,39.16875
2023,210,16,39.58588235294118
2023,210,17,39.00944444444444
2023,210,18,38.20722222222222
2023,210,19,37.132222222222225
2023,210,20,38.275000000000006
2023,210,21,38.635
2023,210,22,36.70611111111111
2023,210,23,36.67333333333333
2023,211,0,36.03611111111111
2023,211,1,36.01611111111111
2023,211,2,33.94
2023,211,3,33.67055555555556
2023,211,4,34.111666666666665
2023,211,5,32.78944444444445
2023,211,6,31.415555555555557
2023,211,7,30.72277777777778
2023,211,8,30.956111111111113
2023,211,9,33.02388888888889
2023,211,10,35.655
2023,211,11,33.75333333333333
2023,211,12,34.66833333333333
2023,211,13,36.0
2023,211,14,37.03
2023,211,15,36.95222222222222
2023,211,16,37.57722222222222
2023,211,17,38.30777777777777
2023,211,18,36.794444444444444
2023,211,19,35.128888888888895
2023,211,20,34.40222222222222
2023,211,21,35.19055555555556
2023,211,22,34.51555555555555
2023,211,23,32.86944444444444
2023,212,0,31.373333333333335
2023,212,1,25.706666666666667
2023,212,2,27.186111111111114
2023,212,3,26.49277777777778
2023,212,4,26.112222222222222
2023,212,5,25.66611111111111
2023,212,6,26.066666666666666
2023,212,7,27.845555555555556
2023,212,8,29.47222222222222
2023,212,9,30.942777777777778
2023,212,10,31.811111111111114
2023,212,11,32.85166666666667
2023,212,12,33.565555555555555
2023,212,13,34.85944444444445
2023,212,14,35.46888888888889
2023,212,15,36.321666666666665
2023,212,16,36.77611111111111
2023,212,17,36.78666666666666
2023,212,18,35.226111111111116
2023,212,19,34.63611111111111
2023,212,20,35.28
2023,212,21,35.04944444444445
2023,212,22,33.68055555555556
2023,212,23,30.735555555555557
2023,213,0,30.211666666666662
2023,213,1,28.26888888888889
2023,213,2,27.851666666666667
2023,213,3,27.20888888888889
2023,213,4,26.66
2023,213,5,25.96333333333333
2023,213,6,25.933333333333334
2023,213,7,27.73611111111111
2023,213,8,29.550555555555555
2023,213,9,31.477777777777778
2023,213,10,32.83444444444444
2023,213,11,34.25277777777777
2023,213,12,35.365
2023,213,13,36.742222222222225
2023,213,14,37.04555555555556
2023,213,15,36.77611111111111
2023,213,16,37.803333333333335
2023,213,17,37.971666666666664
2023,213,18,35.85111111111111
2023,213,19,34.77777777777778
2023,213,20,34.43944444444444
2023,213,21,33.28944444444445
2023,213,22,31.87722222222222
2023,213,23,32.95222222222222
2023,214,0,33.556666666666665
2023,214,1,33.11611111111111
2023,214,2,32.878888888888895
2023,214,3,32.20222222222222
2023,214,4,31.827777777777776
2023,214,5,30.95111111111111
2023,214,6,28.543888888888887
2023,214,7,29.253333333333337
2023,214,8,32.092777777777776
2023,214,9,33.86055555555556
2023,214,10,35.42944444444444
2023,214,11,35.65166666666667
2023,214,12,37.13388888888889
2023,214,13,36.95166666666667
2023,214,14,38.596666666666664
2023,214,15,37.97555555555556
2023,214,16,38.483333333333334
