year,julian-day,standard-time
2023,201,0
2023,201,1
2023,201,2
2023,201,3
2023,201,4
2023,201,5
2023,201,6
2023,201,7
2023,201,8
2023,201,9
2023,201,10
2023,201,11
2023,201,12
2023,201,13
2023,201,14
2023,201,15
2023,201,16
2023,201,17
2023,201,18
2023,201,19
2023,201,20
2023,201,21
2023,201,22
2023,201,23
2023,202,0
2023,202,1
2023,202,2
2023,202,3
2023,202,4
2023,202,5
2023,202,6
2023,202,7
2023,202,8
2023,202,9
2023,202,10
2023,202,11
2023,202,12
2023,202,13
2023,202,14
2023,202,15
2023,202,16
2023,202,17
2023,202,18
2023,202,19
2023,202,20
2023,202,21
2023,202,22
2023,202,23
2023,203,0
2023,203,1
2023,203,2
2023,203,3
2023,203,4
2023,203,5
2023,203,6
2023,203,7
2023,203,8
2023,203,9
2023,203,10
2023,203,11
2023,203,12
2023,203,13
2023,203,14
2023,203,15
2023,203,16
2023,203,17
2023,203,18
2023,203,19
2023,203,20
2023,203,21
2023,203,22
2023,203,23
2023,204,0
2023,204,1
2023,204,2
2023,204,3
2023,204,4
2023,204,5
2023,204,6
2023,204,7
2023,204,8
2023,204,9
2023,204,10
2023,204,11
2023,204,12
2023,204,13
2023,204,14
2023,204,15
2023,204,16
2023,204,17
2023,204,18
2023,204,19
2023,204,20
2023,204,21
2023,204,22
2023,204,23
2023,205,0
2023,205,1
2023,205,2
2023,205,3
2023,205,4
2023,205,5
2023,205,6
2023,205,7
2023,205,8
2023,205,9
2023,205,10
2023,205,11
2023,205,12
2023,205,13
2023,205,14
2023,205,15
2023,205,16
2023,205,17
2023,205,18
2023,205,19
2023,205,20
2023,205,21
2023,205,22
2023,205,23
2023,206,0
2023,206,1
2023,206,2
2023,206,3
2023,206,4
2023,206,5
2023,206,6
2023,206,7
2023,206,8
2023,206,9
2023,206,10
2023,206,11
2023,206,12
2023,206,13
2023,206,14
2023,206,15
2023,206,16
2023,206,17
2023,206,18
2023,206,19
2023,206,20
2023,206,21
2023,206,22
2023,206,23
2023,207,0
2023,207,1
2023,207,2
2023,207,3
2023,207,4
2023,207,5
2023,207,6
2023,207,7
2023,207,8
2023,207,9
2023,207,10
2023,207,11
2023,207,12
2023,207,13
2023,207,14
2023,207,15
2023,207,16
2023,207,17
2023,207,18
2023,207,19
2023,207,20
2023,207,21
2023,207,22
2023,207,23
2023,208,0
2023,208,1
2023,208,2
2023,208,3
2023,208,4
2023,208,5
2023,208,6
2023,208,7
2023,208,8
2023,208,9
2023,208,10
2023,208,11
2023,208,12
2023,208,13
2023,208,14
2023,208,15
2023,208,16
2023,208,17
2023,208,18
2023,208,19
2023,208,20
2023,208,21
2023,208,22
2023,208,23
2023,209,0
2023,209,1
2023,209,2
2023,209,3
2023,209,4
2023,209,5
2023,209,6
